skill_doc_id,skill,count_candidates,skill_semantic_evidence,top_anchor_family
abb2a39d68dd5ed4,Forecasting,4676,0.169173,product_shipper
d548c5b83fa61d8e,Docker,12062,0.635338,product_shipper
60ec1732ff77892b,PEFT,1377,0.093985,product_shipper
aa90a6f241121093,Data Science,4708,0.718045,product_shipper
a01d874d87fa0ce5,Information Retrieval,5135,0.943609,product_shipper
4cd3878f564ca086,CI/CD,12108,0.560150,production_ml
b1a8f0a4d2aae9e0,MLflow,4691,0.687970,production_ml
dcaa8e5ecb8d70ad,Machine Learning,1349,0.936090,product_shipper
513575f364dd1b64,Sentence Transformers,5081,0.439850,semantic_search_quality
197b0ff11cd452f0,scikit-learn,1288,0.500000,product_shipper
36e64f19f57a05c8,CSS,12065,0.146617,candidate_matching
ea3f2c381cdbe297,Weaviate,1389,0.906015,product_shipper
3f29e2edecdbc0a4,Haystack,1333,0.823308,product_shipper
cebea885ef40f295,TensorFlow,1381,0.830827,product_shipper
2a8bdad2e9697326,Reinforcement Learning,4708,0.582707,ranking_eval
505bd12938815abc,Deep Learning,1342,0.928571,candidate_matching
f1e3a4221bbef787,Diffusion Models,4701,0.304511,product_shipper
f2f6eba0f1d673c6,ASR,4788,0.545113,matching_finetune_eval
a3e690053061793b,RAG,4995,0.184211,product_shipper
de2187af3fb01170,LLMs,5094,0.312030,ranking_eval
42284eaf394d84c0,Semantic Search,5087,0.951128,candidate_matching
3d473feab56a422e,Learning to Rank,1383,0.973684,ranking_eval
527ba7f732aa4673,QLoRA,1401,0.537594,matching_finetune_eval
44f3c8ab3bb645ae,pgvector,1394,0.357143,retrieval_ops
4f691bfe771e557c,Time Series,4686,0.281955,product_shipper
2086d0f715be4a4d,LlamaIndex,1308,0.620301,product_shipper
00797d717aff01ad,Vector Representations,4,0.334586,retrieval_ops
df8b19b0a2224023,Content Matching,4,0.507519,product_shipper
fe14b7e25767218d,Information Retrieval Systems,7,0.890977,product_shipper
9f22a3317bac2962,Workflow Orchestration,3,0.078947,production_ml
dc453b2d95200c3c,Natural Language Processing,2,0.793233,product_shipper
f945bfb46b68c5ed,Search Backend,5,0.996241,candidate_matching
65bfac137b13498f,Model Adaptation,4,0.665414,product_shipper
b6596aec1553edac,Ranking Systems,4,0.800752,product_shipper
30b6455701583a29,Text Encoders,5,0.530075,matching_finetune_eval
6d11152e99940861,Search & Discovery,4,0.958647,product_shipper
4b5d03699df8ca08,Search Infrastructure,3,0.988722,candidate_matching
0bb1a2318f61b935,Indexing Algorithms,3,0.770677,product_shipper
66a16477af3587de,Document Processing,1,0.033835,product_shipper
5ef5fd08cc5a0707,Open-source ML libraries,3,0.785714,product_shipper
